courseId,termCode,termName,associatedAcademicCareer,associatedAcademicGroupCode,associatedAcademicOrgCode,subjectCode,catalogNumber,title,descriptionAbbreviated,description,gradingBasis,courseComponentCode,enrollConsentCode,enrollConsentDescription,dropConsentCode,dropConsentDescription,requirementsDescription
15924,1215,Spring 2021,GRD,ENG,ECE,ECE,609,Engineering Analysis of Living Cells,EngAnalysis of Living Cells,"This course introduces a quantitative understanding of cell biology at the molecular level. Guided with real experimental data, biological processes and systems are modeled using fundamental physical principles and engineering analytic techniques, including free-energy minimization, statistical mechanics, random walk models, electrostatics, diffusive dynamics, electrochemical equilibrium, complex networks, feedback system analysis, Turing reaction-diffusion equations, and sequence analysis. Various complicated biological phenomena will be shown to be explicable with the same simple underlying principles.",NUM,LEC,N,No Consent Required,N,No Consent Required,
14298,1215,Spring 2021,GRD,ENG,ECE,ECE,657,Tools of Intelligent Systems Design,Tools of Intellignt System Des,"Conventional approaches for tackling complex systems are usually implemented under the assumption of a good understanding of the process dynamics/functionalities and its operating environment.  These techniques fail, however, to provide satisfactory results when applied to ill-defined processes (for which analytical and experimental modeling may not be easily obtained) that may operate in unpredictable and possibly noisy environment.  Recent developments in the area of intelligent systems and soft computing have presented powerful alternatives for dealing with the behavior of this class of systems.  This course outlines fundamentals of soft computing based design approaches using such tools as approximate reasoning, fuzzy inferencing, neural networks, evolutionary algorithms, and neuro-fuzzy systems.  Fundamentals and advances on these procedures are outlined along with their potential applications to various real world applications in virtually most fields of engineering including pattern recognition, system planning, classification, power generation, intelligent transportation, systems and control, intelligent mechatronics, optimization, communication, robotics and manufacturing, to name a few.",NUM,LEC,N,No Consent Required,N,No Consent Required,Prereq: ECE 650 or 750 Tpc 26 or instructor consent. Coreq:ECE 650 or 750 Tpc 26 or instructor consent. Antireq: ECE 750 Topic 16
13906,1215,Spring 2021,GRD,ENG,ECE,ECE,606,Algorithm Design and Analysis,Algorithm Design and Analysis,"This is an introductory course on algorithms at the graduate level.  It assumes familiarity with basic data structures such as lists, queues, trees and graphs, and emphasizes creativity in the design of algorithms, and rigorous analysis.  Correctness (soundness and completeness) and efficiency (with respect to average-, best- and worst-case time and space) properties are considered in the context of algorithms for classes of problems such as optimization and decision problems.  The course also gives insights into when a problem may be intractable, and how we may deal with intractability.",NUM,LEC,N,No Consent Required,N,No Consent Required,"Antireq: ECE 406, SYDE 423, ECE 750 - Topic 15"
4806,1215,Spring 2021,UG,ENG,ECE,ECE,463,Design & Applications of Power Electronic Converters,Des & Appl of Pwr Electro Conv,"Principles of power conditioning. Switching characteristics of power semiconductor devices. Computer simulation of power electronic circuits. Analysis, design, and applications of power converters.  [Offered: S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: (ECE 260 or 361; Level at least 4A Comp or Elec Eng) or (MTE 120, 220, 320; Level at least 3B Mechtr Eng) or (ECE 240 or GENE 123; Level at least 4A Mech Eng/Mechtr Opt) or (SYDE 292,292L; Level at least 4A Sys Des Eng/Mechtr Opt)"
15304,1215,Spring 2021,UG,ENG,ECE,ECE,404,Geometrical and Physical Optics,Geometrical & Physical Optics,"Electromagnetic waves and the nature of light. Geometrical optics, aberrations. Physical optics: interference, Fraunhofer and Fresnel diffraction, polarization. Optical instruments. [Offered: S]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: (One of PHYS 112, 122) or (ECE 105, 106); (One of MATH 108, 119, 128, 138, 148). Antireq: PHYS 226, 246, 256"
15989,1215,Spring 2021,UG,ENG,ECE,ECE,198,Project Studio,Project Studio,"A design project integrating content from physics, math, and programming courses. Topics include engineering design process, problem definition, risk analysis, design specification, system modelling and analysis, engineering data analysis, project management, and prototyping. Students work in teams to build and test a prototype. [Offered: F]",NUM,LAB,N,No Consent Required,N,No Consent Required,Prereq: Level 1A Computer Engineering or Electrical Engineering
803,1215,Spring 2021,GRD,ENG,ECE,ECE,668,Distribution System Engineering,Distribution System Engineerin,This course covers the following topics in distribution engineering:  Load Characteristics and distribution system load forecasting; Distribution system planning; Distribution system automation; Design and application of distribution transformers; Design and optimal operation of sub-transmission lines and distribution systems; Distribution system voltage regulation; Reactive power control for distribution systems; Application of capacitors to distribution systems; Calculation of voltage drops in lateral distribution systems; Calculation of power losses in distribution systems; Introduction to distribution system protection. Background Required - basic knowledge of power system operation and analysis.,NUM,LEC,N,No Consent Required,N,No Consent Required,
794,1215,Spring 2021,GRD,ENG,ECE,ECE,651,Foundations of Software Engineering,Foundations Software Eng,"Fundamentals of software requirement analysis, software development as an engineering activity, basic process models, software specifications, modularity, cohesion, coupling, encapsulation, information hiding, principles of object oriented design, software project management, quality assurance and control.  Priniciples of Software Architecture:  Fundamental software architecture styles, synchronous & as synchronous communication of software components.  Languages for software design specification:  UML (class diagrams, sequence diagrams, collaboration diagrams, state diagrams).  Overview of verification and validation techniques.  Maintenance, evolution and reengineering, configuration management.  Software metrics, quality assurance, fundamental cost and effort prediction models.  Trends in software engineering (e.g., model-driven development, agile approaches).",NUM,LEC,N,No Consent Required,N,No Consent Required,"Pre/Co-req: ECE 650 or 750 Tpc 26, or instructor consent. Antireq: ECE 355, ECE 451, CS 445, CS 645, SE 463, ECE 452, CS 446, CS 646, SE 464"
13184,1215,Spring 2021,UG,ENG,ECE,ECE,498B,Engineering Design Project,Engineering Design Project,"Completion of the design cycle started in ECE 498A and communication of the engineering design work.  Submission of a written final report.  Lecture-style technical presentation by group members.  Poster-style technical presentation with group members available to discuss the project.  [Offered:  F, W, S]",NUM,PRJ,N,No Consent Required,N,No Consent Required,Prereq: ECE 498A; Level at least 4B Computer Engineering or Electrical Engineering.
4752,1215,Spring 2021,UG,ENG,ECE,ECE,204,Numerical Methods,Numerical Methods,"Application of computational methods to engineering problems. Number systems, errors and error propagation. Roots of nonlinear equations. Introduction to numerical linear algebra. Interpolation and numerical integration. Introduction to numerical solutions of ordinary differential equations, optimization. Emphasis will be placed on algorithm development. [Offered: F, W]",NUM,LEC,N,No Consent Required,N,No Consent Required,"Prereq: Level at least 2A Computer Engineering or Electrical Engineering. Antireq: AMATH 342, CS 370, 371, ECE 204A, 204B, MTE 204"
